ax,ay,az,rx,ry,rz,timestamp
-9.55305,0.401258,-0.467636,-0.024355469999999997,-0.00412579,-0.0079854,1746801565384715
-9.54707,0.40365,-0.47541,-0.024222379999999998,-0.004525059999999999,-0.008118489999999999,1746801585358615
-9.55006,0.40783600000000003,-0.449696,-0.02448856,-0.004391969999999999,-0.00678759,1746801605332515
-9.554844000000001,0.41561,-0.470028,-0.02502092,-0.0053235999999999995,-0.007586129999999999,1746801625306395
-9.534512,0.41321800000000003,-0.470626,-0.024754739999999997,-0.00519051,-0.00891703,1746801645280295
-9.545874,0.401258,-0.464646,-0.02462165,-0.004525059999999999,-0.00825158,1746801665254175
-9.554246000000001,0.416208,-0.487968,-0.023823109999999998,-0.00465815,-0.007586129999999999,1746801685228015
-9.5381,0.41262,-0.456872,-0.023823109999999998,-0.004924329999999999,-0.0079854,1746801705201915
-9.551256,0.402454,-0.49335,-0.02408929,-0.00519051,-0.008118489999999999,1746801725175795
-9.55006,0.414414,-0.46943,-0.02462165,-0.00519051,-0.008118489999999999,1746801745149475
-9.547668,0.399464,-0.46046,-0.024222379999999998,-0.0058559599999999995,-0.00851776,1746801765123375
-9.55006,0.40664,-0.45268600000000003,-0.023823109999999998,-0.0047912399999999996,-0.008118489999999999,1746801785097375
-9.550658,0.389896,-0.449098,-0.02408929,-0.00519051,-0.007719219999999999,1746801805070415
-9.54408,0.40006200000000003,-0.48438000000000003,-0.023823109999999998,-0.004525059999999999,-0.00785231,1746801825044055
-9.54109,0.40365,-0.47541,-0.02448856,-0.005456689999999999,-0.008118489999999999,1746801845017835
-9.546472,0.409032,-0.447902,-0.024355469999999997,-0.005456689999999999,-0.008384669999999999,1746801864991755
-9.556638,0.415012,-0.468832,-0.024754739999999997,-0.00519051,-0.00865085,1746801884965595
-9.552452,0.403052,-0.45268600000000003,-0.02329075,-0.0038596099999999994,-0.00851776,1746801904939415
-9.545874,0.398866,-0.461058,-0.02408929,-0.004924329999999999,-0.007719219999999999,1746801924913235
-9.552452,0.405444,-0.473616,-0.025287099999999996,-0.004391969999999999,-0.008783939999999999,1746801944887075
-9.560226,0.410826,-0.477802,-0.02448856,-0.0047912399999999996,-0.00891703,1746801964861035
-9.547668,0.406042,-0.48976200000000003,-0.024222379999999998,-0.0053235999999999995,-0.00785231,1746801984834915
-9.547668,0.419796,-0.446108,-0.025287099999999996,-0.004525059999999999,-0.00851776,1746801005808755
-9.554246000000001,0.40365,-0.48976200000000003,-0.024887829999999996,-0.00612214,-0.00851776,1746801025782615
-9.543482000000001,0.405444,-0.4784,-0.025287099999999996,-0.00505742,-0.00825158,1746801045756515
-9.542884,0.41561,-0.465244,-0.024355469999999997,-0.00625523,-0.00718686,1746801065730395
-9.542286,0.408434,-0.461058,-0.024887829999999996,-0.005456689999999999,-0.007453039999999999,1746801085704195
-9.543482000000001,0.40783600000000003,-0.484978,-0.024355469999999997,-0.006654499999999999,-0.00718686,1746801105678095
-9.525542,0.398268,-0.494546,-0.02408929,-0.00465815,-0.00785231,1746801125651955
-9.562618,0.401856,-0.459264,-0.02329075,-0.00572287,-0.007453039999999999,1746801145625755
-9.550658,0.404248,-0.461058,-0.024222379999999998,-0.0039927,-0.008384669999999999,1746801165599575
-9.559628,0.420394,-0.482586,-0.02448856,-0.0047912399999999996,-0.0079854,1746801185573495
-9.545276,0.416208,-0.487968,-0.023956199999999997,-0.00412579,-0.007719219999999999,1746801205547395
-9.547668,0.411424,-0.487968,-0.024222379999999998,-0.004924329999999999,-0.007586129999999999,1746801225521275
-9.551854,0.422786,-0.489164,-0.02448856,-0.0047912399999999996,-0.0079854,1746801245495135
-9.565010000000001,0.398268,-0.477204,-0.024355469999999997,-0.005456689999999999,-0.008783939999999999,1746801265469075
-9.550658,0.418002,-0.459264,-0.024222379999999998,-0.00505742,-0.008384669999999999,1746801285442915
-9.551854,0.404846,-0.498134,-0.025154009999999997,-0.0053235999999999995,-0.008783939999999999,1746801305416695
-9.552452,0.398268,-0.467038,-0.02621873,-0.005589779999999999,-0.007586129999999999,1746801325390615
-9.544678,0.395876,-0.47122400000000003,-0.02502092,-0.004391969999999999,-0.00865085,1746801345364455
-9.556638,0.414414,-0.461058,-0.024754739999999997,-0.0047912399999999996,-0.0073199499999999995,1746801365338295
-9.539296,0.41262,-0.461058,-0.024222379999999998,-0.004391969999999999,-0.008118489999999999,1746801385312195
-9.54408,0.39767,-0.459264,-0.02448856,-0.0039927,-0.008118489999999999,1746801405286115
-9.550658,0.40664,-0.478998,-0.02462165,-0.00425888,-0.00865085,1746801425259955
-9.54707,0.40664,-0.464048,-0.02502092,-0.00425888,-0.00851776,1746801445233855
-9.545276,0.404248,-0.468234,-0.024222379999999998,-0.005589779999999999,-0.007719219999999999,1746801465207735
-9.551256,0.398866,-0.46943,-0.023956199999999997,-0.0053235999999999995,-0.005989049999999999,1746801485181595
-9.551854,0.405444,-0.467038,-0.023556929999999997,-0.00505742,-0.008118489999999999,1746801505155395
-9.541688,0.420394,-0.45268600000000003,-0.023024569999999998,-0.00465815,-0.007719219999999999,1746801525129275
-9.545276,0.405444,-0.45806800000000003,-0.024222379999999998,-0.0047912399999999996,-0.00851776,1746801545103115
-9.545276,0.404846,-0.45268600000000003,-0.025154009999999997,-0.0037265199999999997,-0.00891703,1746801565076975
-9.549462,0.426972,-0.461656,-0.024222379999999998,-0.004525059999999999,-0.009449389999999998,1746801585050875
-9.551854,0.416806,-0.474214,-0.024355469999999997,-0.00465815,-0.008118489999999999,1746801605024575
-9.545874,0.39767,-0.490958,-0.02462165,-0.00465815,-0.007453039999999999,1746801624998455
-9.55006,0.401856,-0.45448,-0.024754739999999997,-0.004391969999999999,-0.007719219999999999,1746801644972515
-9.547668,0.396474,-0.443716,-0.025154009999999997,-0.00519051,-0.00825158,1746801664946395
-9.553648,0.416806,-0.467038,-0.023823109999999998,-0.00505742,-0.00718686,1746801684920175
-9.539296,0.392288,-0.470626,-0.024355469999999997,-0.004525059999999999,-0.007453039999999999,1746801704894155
